probIn scale
0.6178113 4.168381
0.5752385 4.534107
0.5736864 4.354291
0.6059134 4.129321
0.5835012 4.285135
0.5637808 4.270945
0.5708741 4.265504
0.5634556 4.0683
0.5342904 4.148345
0.5542327 3.823394
0.5389477 3.950619
0.5711284 3.807958
0.5943263 3.873018
0.5836535 3.798679
0.5300861 3.702137
0.5166185 3.521714
0.5364759 3.638165
0.5380579 3.597567
0.5222253 3.719402
0.517299 3.90705
0.5333351 3.740711
0.5232449 3.611665
0.5143068 3.572433
0.550243 3.471072
0.5269278 3.541451
0.5473978 3.606722
0.5459271 3.609581
0.5400365 3.518474
0.5247352 3.426594
0.5564432 3.479885
0.5607284 3.223505
0.586212 3.114645
0.6218295 3.197074
0.6253223 3.243957
0.6205864 3.216587
0.6180676 3.335636
0.5836801 3.448451
0.6182016 3.593272
0.6071875 3.564229
0.5968624 3.488031
0.6106068 3.263956
0.5570463 3.574039
0.5341316 3.52372
0.5194393 3.550069
0.5196755 3.368131
0.4877954 3.381606
0.4664702 3.385598
0.4670603 3.440064
0.4979195 3.338991
0.5054399 3.527235
0.5272592 3.575272
0.5075611 3.555217
0.4755271 3.49447
0.46202 3.622989
0.4762311 3.754853
0.4802274 3.900007
0.4917801 4.076492
0.4931134 3.793531
0.5342394 3.822239
0.528182 3.73248
0.5621085 3.94989
0.5107718 3.789993
0.4895743 3.825333
0.5019279 3.74815
0.4535406 3.789039
0.4499557 3.911941
0.4241538 3.87782
0.3973764 3.780466
0.4084556 3.738488
0.425031 3.794968
0.469151 3.888222
0.518935 3.946536
0.539022 3.959547
0.5287856 3.951648
0.4846924 3.768056
0.4420971 3.508857
0.4511142 3.489033
0.5282727 3.452587
0.4978469 3.372755
0.5113241 3.344175
0.537664 3.1294
0.497936 3.118841
0.4855553 3.045259
0.4913931 3.070263
0.5381785 3.256859
0.5400516 3.040763
0.5079877 3.016473
0.4972576 3.161015
0.4833589 3.220145
0.4940365 3.329006
0.5063609 3.1385
0.5037756 3.132203
0.5193712 3.018909
0.4748723 3.039843
0.533409 3.122726
0.5332086 2.92056
0.5160534 3.095958
0.5207516 3.222908
0.567223 3.323079
0.5899215 3.222722
0.6362771 3.236677
0.6051899 3.182788
0.6221406 3.217966
0.6390029 3.134899
0.6645663 3.079012
0.6240984 2.939868
0.6051001 2.996979
0.621146 3.014693
0.5929164 3.005579
0.6101291 3.069309
0.597334 3.052085
0.5956357 3.232646
0.5490578 3.044396
0.5834883 3.135443
